,ID_REF,PROBE_ID,IDENTIFIER
0,1007_s_at,0,MIR4640
1,1053_at,1,RFC2
2,117_at,2,HSPA6
3,121_at,3,PAX8
4,1255_g_at,4,GUCA1A
5,1294_at,5,MIR5193
6,1316_at,6,THRA
7,1320_at,7,PTPN21
8,1405_i_at,8,CCL5
9,1431_at,9,CYP2E1
10,1438_at,10,EPHB3
11,1487_at,11,ESRRA
12,1494_f_at,12,CYP2A6
13,1552256_a_at,13,SCARB1
14,1552257_a_at,14,TTLL12
15,1552258_at,15,LOC101930489
16,1552261_at,16,WFDC2
17,1552263_at,17,MAPK1
18,1552264_a_at,18,MAPK1
19,1552266_at,19,ADAM32
20,1552269_at,20,SPATA17
21,1552271_at,21,PRR22
22,1552272_a_at,22,PRR22
23,1552274_at,23,PXK
24,1552275_s_at,24,PXK
25,1552276_a_at,25,VPS18
26,1552277_a_at,26,MSANTD3
27,1552278_a_at,27,SLC46A1
28,1552279_a_at,28,SLC46A1
29,1552280_at,29,TIMD4
30,1552281_at,30,SLC39A5
31,1552283_s_at,31,ZDHHC11B
32,1552286_at,32,ATP6V1E2
33,1552287_s_at,33,AFG3L1P
34,1552288_at,34,CILP2
35,1552289_a_at,35,CILP2
36,1552291_at,36,PIGX
37,1552293_at,37,TMEM196
38,1552295_a_at,38,SLC39A13
39,1552296_at,39,BEST4
40,1552299_at,40,AK9
41,1552301_a_at,41,CORO6
42,1552302_at,42,TMEM106A
43,1552303_a_at,43,TMEM106A
44,1552304_at,44,ALG10
45,1552306_at,45,ALG10
46,1552307_a_at,46,TTC39C
47,1552309_a_at,47,NEXN
48,1552310_at,48,C15orf40
49,1552311_a_at,49,RAX2
50,1552312_a_at,50,MFAP3
51,1552314_a_at,51,EYA3
52,1552315_at,52,GIMAP1
53,1552316_a_at,53,GIMAP1
54,1552318_at,54,GIMAP1
55,1552319_a_at,55,KLK8
56,1552320_a_at,56,CCDC65
57,1552321_a_at,57,CCDC65
58,1552322_at,58,FAM122C
59,1552323_s_at,59,FAM122C
60,1552325_at,60,CFAP53
61,1552326_a_at,61,CFAP53
62,1552327_at,62,ARMCX4
63,1552329_at,63,RBBP6
64,1552330_at,64,CENPBD1
65,1552332_at,65,TRIOBP
66,1552334_at,66,TRIOBP
67,1552335_at,67,CATSPER1
68,1552337_s_at,68,HOXD4
69,1552338_at,69,GSC
70,1552340_at,70,SP7
71,1552343_s_at,71,PDE7A
72,1552344_s_at,72,CNOT7
73,1552347_at,73,CRYZL1
74,1552348_at,74,PRSS33
75,1552349_a_at,75,PRSS33
76,1552354_at,76,CBARP
77,1552355_s_at,77,CBARP
78,1552359_at,78,MCMDC2
79,1552360_a_at,79,TIRAP
80,1552362_a_at,80,LEAP2
81,1552364_s_at,81,MSI2
82,1552365_at,82,SCIN
83,1552367_a_at,83,SCIN
84,1552368_at,84,CTCFL
85,1552370_at,85,C4orf33
86,1552372_at,86,C4orf33
87,1552373_s_at,87,C4orf33
88,1552375_at,88,ZNF333
89,1552377_s_at,89,TVP23C
90,1552378_s_at,90,RDH10
91,1552379_at,91,RDH10
92,1552381_at,92,SRSF12
93,1552383_at,93,FAM71A
94,1552384_a_at,94,FAM71A
95,1552386_at,95,GAPT
96,1552388_at,96,FLJ30901
97,1552389_at,97,ERICH5
98,1552390_a_at,98,ERICH5
99,1552391_at,99,CCDC185
100,1552393_at,100,ENTHD1
101,1552394_a_at,101,ENTHD1
102,1552395_at,102,TSSK3
103,1552396_at,103,WFDC6
104,1552398_a_at,104,CLEC12A
105,1552399_a_at,105,BRF1
106,1552400_a_at,106,TMEM266
107,1552401_a_at,107,GRIK1-AS2
108,1552402_at,108,CALML6
109,1552405_at,109,NLRP5
110,1552408_at,110,ODF4
111,1552409_a_at,111,ODF4
112,1552410_at,112,CLEC4F
113,1552411_at,113,DEFB106B
114,1552412_a_at,114,DEFB106B
115,1552414_at,115,WFDC9
116,1552415_a_at,116,WFDC9
117,1552417_a_at,117,NEDD1
118,1552418_at,118,TTLL10
119,1552419_s_at,119,TTLL10
120,1552421_a_at,120,CALR3
121,1552422_at,121,C10orf25
122,1552423_at,122,ETV3
123,1552424_at,123,KLHL10
124,1552425_a_at,124,KLHL10
125,1552426_a_at,125,TM2D3
126,1552427_at,126,ZNF485
127,1552430_at,127,WDR17
128,1552432_at,128,MFSD6L
129,1552436_a_at,129,LOC100653137
130,1552438_a_at,130,ANKAR
131,1552439_s_at,131,MEGF11
132,1552440_at,132,GPR182
133,1552445_a_at,133,ESX1
134,1552448_a_at,134,FAM167A-AS1
135,1552449_a_at,135,SCGB1C2
136,1552450_a_at,136,DNAJC5G
137,1552452_at,137,WDR88
138,1552453_a_at,138,WDR88
139,1552455_at,139,PRUNE2
140,1552456_a_at,140,MBD3L2
141,1552457_a_at,141,ADAMTSL1
142,1552458_at,142,MBD3L1
143,1552459_a_at,143,MBD3L1
144,1552461_at,144,FAM46D
145,1552463_at,145,SERPINB11
146,1552466_x_at,146,LINC00161
147,1552467_at,147,DSCR10
148,1552468_a_at,148,DSCR10
149,1552470_a_at,149,ABHD11
150,1552472_a_at,150,ACAP2
151,1552473_at,151,GAMT
152,1552474_a_at,152,GAMT
153,1552476_s_at,153,PLCD3
154,1552477_a_at,154,IRF6
155,1552478_a_at,155,IRF6
156,1552480_s_at,156,PTPRC
157,1552481_s_at,157,MAN1A2
158,1552482_at,158,RAPH1
159,1552484_at,159,SMCR8
160,1552485_at,160,LACTB
161,1552486_s_at,161,LACTB
162,1552487_a_at,162,BNC1
163,1552489_s_at,163,MPP4
164,1552490_at,164,LACE1
165,1552491_at,165,IDI2
166,1552493_s_at,166,CYP11B1
167,1552494_at,167,TAF8
168,1552496_a_at,168,COBL
169,1552497_a_at,169,SLAMF6
170,1552498_at,170,ZSCAN20
171,1552499_a_at,171,ZSCAN20
172,1552501_a_at,172,GPBAR1
173,1552502_s_at,173,RHBDL2
174,1552503_at,174,FRAS1
175,1552504_a_at,175,BRSK1
176,1552506_at,176,CRB2
177,1552507_at,177,KCNE4
178,1552508_at,178,KCNE4
179,1552509_a_at,179,CD300LG
180,1552510_at,180,SLC34A3
181,1552511_a_at,181,CPA6
182,1552514_at,182,WBP2NL
183,1552515_at,183,HIPK1
184,1552516_a_at,184,HIPK1
185,1552518_s_at,185,MTBP
186,1552519_at,186,ACVR1C
187,1552520_at,187,TMEM74
188,1552521_a_at,188,TMEM74
189,1552522_at,189,TIGD4
190,1552523_a_at,190,TIGD4
191,1552524_at,191,ART5
192,1552526_at,192,FAM71C
193,1552528_at,193,LINC01547
194,1552531_a_at,194,NLRP11
195,1552532_a_at,195,ATP6V1C2
196,1552535_at,196,CLDN19
197,1552536_at,197,VTI1A
198,1552538_a_at,198,KIF6
199,1552540_s_at,199,IQCD
200,1552541_at,200,TAGAP
201,1552542_s_at,201,TAGAP
202,1552543_a_at,202,STON2
203,1552544_at,203,SERPINA12
204,1552546_a_at,204,LETM2
205,1552548_at,205,BSND
206,1552549_a_at,206,BSND
207,1552552_s_at,207,CLEC4C
208,1552553_a_at,208,NLRC4
209,1552554_a_at,209,NLRC4
210,1552555_at,210,PRSS36
211,1552557_a_at,211,ZDHHC15
212,1552558_a_at,212,RAI1
213,1552559_a_at,213,CDK15
214,1552562_at,214,ZNF570
215,1552563_a_at,215,1552563_a_at
216,1552564_at,216,NUDT9P1
217,1552566_at,217,BTBD16
218,1552568_at,218,RTP3
219,1552569_a_at,219,RTP3
220,1552570_at,220,TSPEAR
